position,title,result_id,type,link,snippet,publication_info,inline_links,resources
1,Machine learning,EQ8shYj8Ai8J,Book,https://books.google.com/books?hl=en&lr=&id=ctM-EAAAQBAJ&oi=fnd&pg=PR6&dq=machine+learning&ots=o_NjX7Sw4n&sig=1zXzJVd1PqowFFJUXk7_O_pYVhU,"… from data is called learning or training. The … machine learning is to find or approximate ground-truth. In this book, models are sometimes called learners, which are machine learning …","{'summary': 'ZH Zhou - 2021 - books.google.com', 'authors': [{'name': 'ZH Zhou', 'link': 'https://scholar.google.com/citations?user=rSVIHasAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=rSVIHasAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'rSVIHasAAAAJ'}]}","{'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=EQ8shYj8Ai8J', 'cited_by': {'total': 3023, 'link': 'https://scholar.google.com/scholar?cites=3387547533016043281&as_sdt=2005&sciodt=0,5&hl=en', 'cites_id': '3387547533016043281', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=2005&cites=3387547533016043281&engine=google_scholar&hl=en'}, 'related_pages_link': 'https://scholar.google.com/scholar?q=related:EQ8shYj8Ai8J:scholar.google.com/&scioq=machine+learning&hl=en&as_sdt=0,5', 'serpapi_related_pages_link': 'https://serpapi.com/search.json?as_sdt=0%2C5&engine=google_scholar&hl=en&q=related%3AEQ8shYj8Ai8J%3Ascholar.google.com%2F', 'versions': {'total': 5, 'link': 'https://scholar.google.com/scholar?cluster=3387547533016043281&hl=en&as_sdt=0,5', 'cluster_id': '3387547533016043281', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=0%2C5&cluster=3387547533016043281&engine=google_scholar&hl=en'}}",
2,Machine learning,_zuqxloS2b0J,Book,https://books.google.com/books?hl=en&lr=&id=Eyk5EAAAQBAJ&oi=fnd&pg=PR9&dq=machine+learning&ots=WRxLfgXlwK&sig=deY-v5BSxgyVp1tgImhkP5nceeo,MIT presents a concise primer on machine learning—computer programs that learn from data and the basis of applications like voice recognition and driverless cars. No in-depth …,"{'summary': 'E Alpaydin - 2021 - books.google.com', 'authors': [{'name': 'E Alpaydin', 'link': 'https://scholar.google.com/citations?user=lXYKgiYAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=lXYKgiYAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'lXYKgiYAAAAJ'}]}","{'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=_zuqxloS2b0J', 'cited_by': {'total': 1403, 'link': 'https://scholar.google.com/scholar?cites=13679985524203994111&as_sdt=2005&sciodt=0,5&hl=en', 'cites_id': '13679985524203994111', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=2005&cites=13679985524203994111&engine=google_scholar&hl=en'}, 'related_pages_link': 'https://scholar.google.com/scholar?q=related:_zuqxloS2b0J:scholar.google.com/&scioq=machine+learning&hl=en&as_sdt=0,5', 'serpapi_related_pages_link': 'https://serpapi.com/search.json?as_sdt=0%2C5&engine=google_scholar&hl=en&q=related%3A_zuqxloS2b0J%3Ascholar.google.com%2F', 'versions': {'total': 11, 'link': 'https://scholar.google.com/scholar?cluster=13679985524203994111&hl=en&as_sdt=0,5', 'cluster_id': '13679985524203994111', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=0%2C5&cluster=13679985524203994111&engine=google_scholar&hl=en'}}","[{'title': 'pomona.edu', 'file_format': 'PDF', 'link': 'https://cs.pomona.edu/~dkauchak/classes/s16/cs30-s16/lectures/lecture12-NN-basics.pdf'}]"
3,"Machine learning: Trends, perspectives, and prospects",pdcI9r5sCJcJ,,https://www.science.org/doi/abs/10.1126/science.aaa8415,… Machine learning addresses the question of how to build computers that improve … Recent progress in machine learning has been driven both by the development of new learning …,"{'summary': 'MI Jordan, TM Mitchell - Science, 2015 - science.org', 'authors': [{'name': 'MI Jordan', 'link': 'https://scholar.google.com/citations?user=yxUduqMAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=yxUduqMAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'yxUduqMAAAAJ'}, {'name': 'TM Mitchell', 'link': 'https://scholar.google.com/citations?user=MnfzuPYAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=MnfzuPYAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'MnfzuPYAAAAJ'}]}","{'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=pdcI9r5sCJcJ', 'cited_by': {'total': 11914, 'link': 'https://scholar.google.com/scholar?cites=10883068066968164261&as_sdt=2005&sciodt=0,5&hl=en', 'cites_id': '10883068066968164261', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=2005&cites=10883068066968164261&engine=google_scholar&hl=en'}, 'related_pages_link': 'https://scholar.google.com/scholar?q=related:pdcI9r5sCJcJ:scholar.google.com/&scioq=machine+learning&hl=en&as_sdt=0,5', 'serpapi_related_pages_link': 'https://serpapi.com/search.json?as_sdt=0%2C5&engine=google_scholar&hl=en&q=related%3ApdcI9r5sCJcJ%3Ascholar.google.com%2F', 'versions': {'total': 20, 'link': 'https://scholar.google.com/scholar?cluster=10883068066968164261&hl=en&as_sdt=0,5', 'cluster_id': '10883068066968164261', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=0%2C5&cluster=10883068066968164261&engine=google_scholar&hl=en'}}","[{'title': 'cmu.edu', 'file_format': 'PDF', 'link': 'http://www.cs.cmu.edu/~tom/pubs/Science-ML-2015.pdf'}]"
4,What is machine learning?,6uA6mpei2rcJ,,https://link.springer.com/chapter/10.1007/978-3-319-18305-3_1,… A machine learning algorithm is a computational process that … This training is the “learning” part of machine learning. The … can practice “lifelong” learning as it processes new data and …,"{'summary': 'I El Naqa, MJ Murphy - Machine learning in radiation oncology: theory and …, 2015 - Springer', 'authors': [{'name': 'I El Naqa', 'link': 'https://scholar.google.com/citations?user=9Vdfc2sAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=9Vdfc2sAAAAJ&engine=google_scholar_author&hl=en', 'author_id': '9Vdfc2sAAAAJ'}]}","{'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=6uA6mpei2rcJ', 'cited_by': {'total': 1822, 'link': 'https://scholar.google.com/scholar?cites=13248080025875046634&as_sdt=2005&sciodt=0,5&hl=en', 'cites_id': '13248080025875046634', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=2005&cites=13248080025875046634&engine=google_scholar&hl=en'}, 'related_pages_link': 'https://scholar.google.com/scholar?q=related:6uA6mpei2rcJ:scholar.google.com/&scioq=machine+learning&hl=en&as_sdt=0,5', 'serpapi_related_pages_link': 'https://serpapi.com/search.json?as_sdt=0%2C5&engine=google_scholar&hl=en&q=related%3A6uA6mpei2rcJ%3Ascholar.google.com%2F', 'versions': {'total': 5, 'link': 'https://scholar.google.com/scholar?cluster=13248080025875046634&hl=en&as_sdt=0,5', 'cluster_id': '13248080025875046634', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=0%2C5&cluster=13248080025875046634&engine=google_scholar&hl=en'}}",
5,Machine learning,sgzh8w-wKWIJ,Ps,https://web.engr.oregonstate.edu/~tgd/publications/arcs.ps.gz,"The study of machine learning methods has progressed greatly in the past few years. This progress has taken many directions. First, in the area of inductive learning, a new formal de …","{'summary': 'TG Dietterich - Annual review of computer science, 1990 - engr.oregonstate.edu', 'authors': [{'name': 'TG Dietterich', 'link': 'https://scholar.google.com/citations?user=09kJn28AAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=09kJn28AAAAJ&engine=google_scholar_author&hl=en', 'author_id': '09kJn28AAAAJ'}]}","{'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=sgzh8w-wKWIJ', 'cited_by': {'total': 272, 'link': 'https://scholar.google.com/scholar?cites=7073378272324684978&as_sdt=2005&sciodt=0,5&hl=en', 'cites_id': '7073378272324684978', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=2005&cites=7073378272324684978&engine=google_scholar&hl=en'}, 'related_pages_link': 'https://scholar.google.com/scholar?q=related:sgzh8w-wKWIJ:scholar.google.com/&scioq=machine+learning&hl=en&as_sdt=0,5', 'serpapi_related_pages_link': 'https://serpapi.com/search.json?as_sdt=0%2C5&engine=google_scholar&hl=en&q=related%3Asgzh8w-wKWIJ%3Ascholar.google.com%2F', 'versions': {'total': 6, 'link': 'https://scholar.google.com/scholar?cluster=7073378272324684978&hl=en&as_sdt=0,5', 'cluster_id': '7073378272324684978', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=0%2C5&cluster=7073378272324684978&engine=google_scholar&hl=en'}, 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:sgzh8w-wKWIJ:scholar.google.com/+machine+learning&hl=en&as_sdt=0,5'}","[{'title': 'oregonstate.edu', 'file_format': 'PS', 'link': 'https://web.engr.oregonstate.edu/~tgd/publications/arcs.ps.gz'}]"
6,Machine learning for microbiologists,LyT44hZeFM0J,,https://www.nature.com/articles/s41579-023-00984-1,… how to evaluate a machine learning model and how … machine learning-based work. The topics presented in this work will allow microbiologists to grasp the potential of machine learning …,"{'summary': 'F Asnicar, AM Thomas, A Passerini… - Nature Reviews …, 2024 - nature.com', 'authors': [{'name': 'F Asnicar', 'link': 'https://scholar.google.com/citations?user=ZbRfesUAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=ZbRfesUAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'ZbRfesUAAAAJ'}, {'name': 'AM Thomas', 'link': 'https://scholar.google.com/citations?user=dMThjQ8AAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=dMThjQ8AAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'dMThjQ8AAAAJ'}, {'name': 'A Passerini', 'link': 'https://scholar.google.com/citations?user=IIXgkLoAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=IIXgkLoAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'IIXgkLoAAAAJ'}]}","{'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=LyT44hZeFM0J', 'html_version': 'https://pmc.ncbi.nlm.nih.gov/articles/PMC11980903/', 'cited_by': {'total': 146, 'link': 'https://scholar.google.com/scholar?cites=14777539729699644463&as_sdt=2005&sciodt=0,5&hl=en', 'cites_id': '14777539729699644463', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=2005&cites=14777539729699644463&engine=google_scholar&hl=en'}, 'related_pages_link': 'https://scholar.google.com/scholar?q=related:LyT44hZeFM0J:scholar.google.com/&scioq=machine+learning&hl=en&as_sdt=0,5', 'serpapi_related_pages_link': 'https://serpapi.com/search.json?as_sdt=0%2C5&engine=google_scholar&hl=en&q=related%3ALyT44hZeFM0J%3Ascholar.google.com%2F', 'versions': {'total': 7, 'link': 'https://scholar.google.com/scholar?cluster=14777539729699644463&hl=en&as_sdt=0,5', 'cluster_id': '14777539729699644463', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=0%2C5&cluster=14777539729699644463&engine=google_scholar&hl=en'}}","[{'title': 'nih.gov', 'file_format': 'HTML', 'link': 'https://pmc.ncbi.nlm.nih.gov/articles/PMC11980903/'}]"
7,Machine learning basics,p7YVSi5UNiMJ,Pdf,http://whdeng.cn/Teaching/PPT_01_Machine%20learning%20Basics.pdf,"… To obtain theoretical guarantees about generalization of a machine learning algorithm, we … Why does deep learning have different behavior than other machine learning methods for …","{'summary': 'H Wang, Z Lei, X Zhang, B Zhou, J Peng - Deep learning, 2016 - whdeng.cn'}","{'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=p7YVSi5UNiMJ', 'cited_by': {'total': 1947, 'link': 'https://scholar.google.com/scholar?cites=2537307997858018983&as_sdt=2005&sciodt=0,5&hl=en', 'cites_id': '2537307997858018983', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=2005&cites=2537307997858018983&engine=google_scholar&hl=en'}, 'related_pages_link': 'https://scholar.google.com/scholar?q=related:p7YVSi5UNiMJ:scholar.google.com/&scioq=machine+learning&hl=en&as_sdt=0,5', 'serpapi_related_pages_link': 'https://serpapi.com/search.json?as_sdt=0%2C5&engine=google_scholar&hl=en&q=related%3Ap7YVSi5UNiMJ%3Ascholar.google.com%2F', 'versions': {'total': 4, 'link': 'https://scholar.google.com/scholar?cluster=2537307997858018983&hl=en&as_sdt=0,5', 'cluster_id': '2537307997858018983', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=0%2C5&cluster=2537307997858018983&engine=google_scholar&hl=en'}, 'cached_page_link': 'http://scholar.googleusercontent.com/scholar?q=cache:p7YVSi5UNiMJ:scholar.google.com/+machine+learning&hl=en&as_sdt=0,5'}","[{'title': 'whdeng.cn', 'file_format': 'PDF', 'link': 'http://whdeng.cn/Teaching/PPT_01_Machine%20learning%20Basics.pdf'}]"
8,Machine learning algorithms: a review,TVVEPP7WNfUJ,Pdf,https://www.academia.edu/download/59817925/IRJET-V6I217620190621-73452-h5pwu7.pdf,… There are a wide range of applications of machine learning methods … the overview of different machine learning approaches. … Unsupervised learning is a class of machine learning that …,"{'summary': 'D Pandey, K Niwaria, B Chourasia - Mach. Learn, 2019 - academia.edu'}","{'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=TVVEPP7WNfUJ', 'cited_by': {'total': 4625, 'link': 'https://scholar.google.com/scholar?cites=17669265100479157581&as_sdt=2005&sciodt=0,5&hl=en', 'cites_id': '17669265100479157581', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=2005&cites=17669265100479157581&engine=google_scholar&hl=en'}, 'related_pages_link': 'https://scholar.google.com/scholar?q=related:TVVEPP7WNfUJ:scholar.google.com/&scioq=machine+learning&hl=en&as_sdt=0,5', 'serpapi_related_pages_link': 'https://serpapi.com/search.json?as_sdt=0%2C5&engine=google_scholar&hl=en&q=related%3ATVVEPP7WNfUJ%3Ascholar.google.com%2F', 'versions': {'total': 5, 'link': 'https://scholar.google.com/scholar?cluster=17669265100479157581&hl=en&as_sdt=0,5', 'cluster_id': '17669265100479157581', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=0%2C5&cluster=17669265100479157581&engine=google_scholar&hl=en'}, 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:TVVEPP7WNfUJ:scholar.google.com/+machine+learning&hl=en&as_sdt=0,5'}","[{'title': 'academia.edu', 'file_format': 'PDF', 'link': 'https://www.academia.edu/download/59817925/IRJET-V6I217620190621-73452-h5pwu7.pdf'}]"
9,What is machine learning? A primer for the epidemiologist,LDE5SAcBB-gJ,,https://academic.oup.com/aje/article-abstract/188/12/2222/5567515,… We provide a brief introduction to 5 common machine learning … of machine learning techniques in the published literature. We recommend approaches to incorporate machine learning …,"{'summary': 'Q Bi, KE Goodman, J Kaminsky… - American journal of …, 2019 - academic.oup.com', 'authors': [{'name': 'Q Bi', 'link': 'https://scholar.google.com/citations?user=xzss3t0AAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=xzss3t0AAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'xzss3t0AAAAJ'}, {'name': 'J Kaminsky', 'link': 'https://scholar.google.com/citations?user=BFdcm_gAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=BFdcm_gAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'BFdcm_gAAAAJ'}]}","{'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=LDE5SAcBB-gJ', 'cited_by': {'total': 744, 'link': 'https://scholar.google.com/scholar?cites=16719333272424362284&as_sdt=2005&sciodt=0,5&hl=en', 'cites_id': '16719333272424362284', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=2005&cites=16719333272424362284&engine=google_scholar&hl=en'}, 'related_pages_link': 'https://scholar.google.com/scholar?q=related:LDE5SAcBB-gJ:scholar.google.com/&scioq=machine+learning&hl=en&as_sdt=0,5', 'serpapi_related_pages_link': 'https://serpapi.com/search.json?as_sdt=0%2C5&engine=google_scholar&hl=en&q=related%3ALDE5SAcBB-gJ%3Ascholar.google.com%2F', 'versions': {'total': 10, 'link': 'https://scholar.google.com/scholar?cluster=16719333272424362284&hl=en&as_sdt=0,5', 'cluster_id': '16719333272424362284', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=0%2C5&cluster=16719333272424362284&engine=google_scholar&hl=en'}}","[{'title': 'umsha.ac.ir', 'file_format': 'PDF', 'link': 'https://sph.umsha.ac.ir/uploads/18/2023/May/22/kwz189.pdf'}]"
10,On applied research in machine learning,i7tgqUFf020J,Pdf,https://ai.stanford.edu/~ronnyk/editorial.pdf,"… Much of the \science"" of Machine Learning is a … er learning research, that misclassi cation errors have equal costs. The vast majority of classi er learning research in Machine Learning …","{'summary': 'F Provost, R Kohavi - MACHINE LEARNING-BOSTON-, 1998 - ai.stanford.edu', 'authors': [{'name': 'F Provost', 'link': 'https://scholar.google.com/citations?user=-Km63D4AAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=-Km63D4AAAAJ&engine=google_scholar_author&hl=en', 'author_id': '-Km63D4AAAAJ'}, {'name': 'R Kohavi', 'link': 'https://scholar.google.com/citations?user=O3RYHGwAAAAJ&hl=en&oi=sra', 'serpapi_scholar_link': 'https://serpapi.com/search.json?author_id=O3RYHGwAAAAJ&engine=google_scholar_author&hl=en', 'author_id': 'O3RYHGwAAAAJ'}]}","{'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=i7tgqUFf020J', 'cited_by': {'total': 334, 'link': 'https://scholar.google.com/scholar?cites=7913773705839295371&as_sdt=2005&sciodt=0,5&hl=en', 'cites_id': '7913773705839295371', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=2005&cites=7913773705839295371&engine=google_scholar&hl=en'}, 'related_pages_link': 'https://scholar.google.com/scholar?q=related:i7tgqUFf020J:scholar.google.com/&scioq=machine+learning&hl=en&as_sdt=0,5', 'serpapi_related_pages_link': 'https://serpapi.com/search.json?as_sdt=0%2C5&engine=google_scholar&hl=en&q=related%3Ai7tgqUFf020J%3Ascholar.google.com%2F', 'versions': {'total': 10, 'link': 'https://scholar.google.com/scholar?cluster=7913773705839295371&hl=en&as_sdt=0,5', 'cluster_id': '7913773705839295371', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=0%2C5&cluster=7913773705839295371&engine=google_scholar&hl=en'}, 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:i7tgqUFf020J:scholar.google.com/+machine+learning&hl=en&as_sdt=0,5'}","[{'title': 'stanford.edu', 'file_format': 'PDF', 'link': 'https://ai.stanford.edu/~ronnyk/editorial.pdf'}]"
